movieid,moviename,year,genres
2394,Firewalker,1986,Adventure
2398,"My Name Is Joe",1998,Drama|Romance
2399,"Still Crazy",1998,Comedy|Romance
2402,"She's All That",1999,Comedy|Romance
2405,"Peeping Tom",1960,Drama|Horror|Thriller
2408,"Simply Irresistible",1999,Comedy|Romance
2413,"Blast from the Past",1999,Comedy|Romance
2414,"Message in a Bottle",1999,Romance
2415,"My Favorite Martian",1999,Comedy|Sci-Fi
2417,Jawbreaker,1999,Comedy
2418,"October Sky",1999,Drama
2419,"Office Space",1999,Comedy|Crime
2422,8MM,1999,Drama|Mystery|Thriller
2426,"Eight Days a Week",1997,Comedy
2430,"Pet Sematary",1989,Horror
2434,Christine,1983,Horror
2435,"Night Shift",1982,Comedy
2437,Airport,1970,Drama
2438,"Airport 1975",1974,Action|Drama|Thriller
2442,Alligator,1980,Action|Horror|Sci-Fi
2444,Westworld,1973,Action|Sci-Fi|Thriller|Western
2445,"Logan's Run",1976,Action|Adventure|Sci-Fi
2446,"Planet of the Apes",1968,Action|Drama|Sci-Fi
2447,"Beneath the Planet of the Apes",1970,Action|Sci-Fi
2448,"Battle for the Planet of the Apes",1973,Action|Sci-Fi
2449,"Conquest of the Planet of the Apes",1972,Action|Sci-Fi
2450,"Escape from the Planet of the Apes",1971,Action|Sci-Fi
2452,Earthquake,1974,Action|Drama|Thriller
2455,Dancemaker,1998,Documentary
2456,"Analyze This",1999,Comedy
2458,"Cruel Intentions",1999,Drama
2466,"Wing Commander",1999,Action|Sci-Fi
2468,"Dead Ringers",1988,Drama|Horror|Thriller
2470,"Village of the Damned",1960,Horror|Sci-Fi|Thriller
2472,"Baby Geniuses",1999,Comedy
2477,Ravenous,1999,Comedy|Drama|Horror
2478,"True Crime",1999,Crime|Thriller
2480,"Dangerous Beauty",1998,Drama
2483,"Doug's 1st Movie",1999,Animation|Children
2484,EDtv,1999,Comedy
2489,"10 Things I Hate About You",1999,Comedy|Romance
2496,Following,1998,Crime|Film-Noir|Mystery|Thriller
2498,"Never Been Kissed",1999,Comedy|Romance
2500,"Cookie's Fortune",1999,Comedy|Drama
2507,"Hideous Kinky",1998,Drama
2513,"SLC Punk!",1998,Comedy|Drama
2515,"Pushing Tin",1999,Comedy
2516,Election,1999,Comedy
2517,eXistenZ,1999,Action|Sci-Fi|Thriller
2522,Entrapment,1999,Crime|Thriller
2523,"Idle Hands",1999,Comedy|Horror
2524,"Get Real",1998,Drama|Romance
2525,Heaven,1998,Thriller
2527,"Three Seasons",1999,Drama
2529,"Mildred Pierce",1945,Drama|Film-Noir
2530,"Night of the Comet",1984,Comedy|Horror|Sci-Fi
2532,"My Science Project",1985,Adventure|Sci-Fi
2533,"Dick Tracy",1990,Action|Crime
2545,"Star Wars: Episode I - The Phantom Menace",1999,Action|Adventure|Sci-Fi
2556,"Mommie Dearest",1981,Drama
2557,Superman,1978,Action|Adventure|Sci-Fi
2558,"Superman II",1980,Action|Adventure|Fantasy|Sci-Fi
2559,"Superman III",1983,Action|Adventure|Sci-Fi
2560,"Superman IV: The Quest for Peace",1987,Action|Adventure|Sci-Fi
2561,Dracula,1931,Horror
2562,"House of Dracula",1945,Horror
2563,"House of Frankenstein",1944,Horror
2564,Frankenstein,1931,Horror
2565,"Son of Frankenstein",1939,Horror
2567,"Frankenstein Meets the Wolf Man",1943,Horror
2569,"Son of Dracula",1943,Horror
2577,"It Came from Outer Space",1953,Sci-Fi
2580,"Invasion of the Body Snatchers",1956,Horror|Sci-Fi|Thriller
2581,"Earth vs. the Flying Saucers",1956,Sci-Fi
2584,"Swamp Thing",1982,Horror|Sci-Fi
2587,"Notting Hill",1999,Comedy|Romance
2592,Instinct,1999,Drama|Thriller
2593,"Buena Vista Social Club",1999,Documentary|Musical
2597,"Free Enterprise",1998,Comedy|Romance|Sci-Fi
2598,Limbo,1999,Drama
2599,"Austin Powers: The Spy Who Shagged Me",1999,Action|Adventure|Comedy
2603,Tarzan,1999,Animation|Children
2609,Trekkies,1997,Documentary
2610,"Big Daddy",1999,Comedy
2613,"My Son the Fanatic",1997,Comedy|Drama|Romance
2615,Arachnophobia,1990,Comedy|Horror
2617,"Wild Wild West",1999,Action|Adventure|Comedy|Fantasy|Sci-Fi|Western
2618,"Summer of Sam",1999,Drama
2622,"American Pie",1999,Comedy
2623,"Arlington Road",1999,Thriller
2625,"Muppets From Space",1999,Children|Comedy
2628,"Eyes Wide Shut",1999,Drama
2629,"Lake Placid",1999,Horror|Thriller
2633,"Ghostbusters II",1989,Action|Comedy|Fantasy|Horror|Sci-Fi
2634,"Drop Dead Gorgeous",1999,Comedy
2636,"Inspector Gadget",1999,Action|Adventure|Children|Comedy
2637,Trick,1999,Comedy|Romance
2639,"Mystery Men",1999,Action|Adventure|Comedy
2640,"Runaway Bride",1999,Comedy|Romance
2641,"Twin Falls Idaho",1999,Drama
2643,"Killer's Kiss",1955,Film-Noir
2644,Spartacus,1960,Action|Drama|Romance|War
2645,Lolita,1962,Comedy|Drama|Romance
2646,"Barry Lyndon",1975,Drama|Romance|War
2652,"Brighton Beach Memoirs",1986,Comedy
2653,Assassination,1987,Action
2654,"Crimes of the Heart",1986,Comedy|Drama
2662,"Little Shop of Horrors",1986,Comedy|Horror|Musical
2666,"Radio Days",1987,Comedy|Drama
2667,"From the Hip",1987,Comedy
2668,"Outrageous Fortune",1987,Comedy|Mystery
2673,Frances,1982,Drama
2675,Dick,1999,Comedy
2686,Bowfinger,1999,Comedy
2688,"Detroit Rock City",1999,Comedy
2690,"Better Than Chocolate",1999,Comedy|Romance
2691,"Head On",1998,Drama
2694,"Never Talk to Strangers",1995,Thriller
2695,"Heaven Can Wait",1978,Comedy
2698,"Pit and the Pendulum",1961,Horror
2701,"Tales of Terror",1962,Horror
2703,"Cat's Eye",1985,Horror
2707,Airplane!,1980,Comedy
2708,"Airplane II: The Sequel",1982,Comedy
2712,"Funny Farm",1988,Comedy
2713,Big,1988,Comedy|Drama|Fantasy|Romance
2714,"Problem Child",1990,Comedy
2715,"Problem Child 2",1991,Comedy
2718,"Tequila Sunrise",1988,Action|Drama|Romance|Thriller
2721,"Mickey Blue Eyes",1999,Comedy|Romance
2722,"Teaching Mrs. Tingle",1999,Comedy|Thriller
2723,"Universal Soldier: The Return",1999,Action|Sci-Fi
2724,"Universal Soldier",1992,Action|Sci-Fi
2726,"Perfect Blue",1997,Animation|Mystery|Thriller
2731,"Iron Eagle",1986,Action|War
2732,"Iron Eagle II",1988,Action|War
2737,"Male and Female",1919,Adventure|Drama
2738,"Medicine Man",1992,Adventure|Romance
2741,Rosie,1998,Drama
2744,"Dudley Do-Right",1999,Children|Comedy
2749,"Lucie Aubrac",1997,Romance|War
2756,Stigmata,1999,Drama|Thriller
2757,"Stir of Echoes",1999,Thriller
2761,Whiteboyz,1999,Comedy|Drama
2763,"Only Angels Have Wings",1939,Adventure|Drama|Romance
2765,"Queens Logic",1991,Comedy|Drama
2766,"Public Access",1993,Drama|Thriller
2767,"Saturn 3",1980,Adventure|Sci-Fi|Thriller
2773,"Yellow Submarine",1968,Adventure|Animation|Comedy|Fantasy|Musical
2774,"American Beauty",1999,Drama
2775,"Stop Making Sense",1984,Documentary|Musical
2776,"Blue Streak",1999,Comedy
2777,"For Love of the Game",1999,Comedy|Drama
2780,Splendor,1999,Comedy
2783,"Fright Night",1985,Comedy|Horror
2786,"Barefoot in the Park",1967,Comedy
2787,Deliverance,1972,Adventure|Drama|Thriller
2788,Excalibur,1981,Adventure|Fantasy
2789,"Lulu on the Bridge",1998,Drama|Mystery|Romance
2791,Sommersby,1993,Drama|Mystery|Romance
2793,Tommy,1975,Drama|Musical
2797,"Double Jeopardy",1999,Action|Thriller
2798,"Jakob the Liar",1999,Drama
2799,Mumford,1999,Comedy|Drama
2803,"Simon Sez",1999,Action|Comedy
2804,"Drive Me Crazy",1999,Comedy|Romance
2805,"Mystery, Alaska",1999,Children|Comedy
2806,"Three Kings",1999,Action|Adventure|Comedy|Drama|War
2807,"Happy, Texas",1999,Comedy
2810,Romance,1999,Drama|Romance
2811,"Napoleon and Samantha",1972,Adventure
2812,"Alvarez Kelly",1966,Western
2815,"Gulliver's Travels",1939,Adventure|Animation|Children
2816,"Monkey Shines",1988,Horror|Sci-Fi
2817,Phantasm,1979,Horror|Sci-Fi
2818,"Psycho II",1983,Horror|Mystery|Thriller
2819,"Psycho III",1986,Horror|Thriller
2820,Rain,1932,Drama
2822,"Random Hearts",1999,Drama|Romance
2823,Superstar,1999,Comedy
2824,"Boys Don't Cry",1999,Drama
2831,"Risky Business",1983,Comedy
2832,"Total Recall",1990,Action|Adventure|Sci-Fi|Thriller
2833,"Body Heat",1981,Crime|Thriller
2834,"Ferris Bueller's Day Off",1986,Comedy
2837,"High Plains Drifter",1973,Western
2838,"Hang 'Em High",1968,Crime|Drama|Western
2842,Hairspray,1988,Comedy|Drama
2845,Reds,1981,Drama|Romance
2848,"Days of Heaven",1978,Drama
2852,"Sullivan's Travels",1941,Adventure|Comedy|Romance
2855,Niagara,1953,Drama|Thriller
2856,Gilda,1946,Drama|Film-Noir|Mystery|Romance
2857,"South Pacific",1958,Musical|Romance|War
2858,Flashdance,1983,Drama|Romance
2859,Indochine,1992,Drama|Romance
2862,Help!,1965,Comedy|Musical
2863,Goldfinger,1964,Action|Adventure|Thriller
2864,"From Russia with Love",1963,Action|Adventure|Thriller
2865,"Dr. No",1962,Action|Adventure|Thriller
2869,"Home Alone 2: Lost in New York",1992,Children|Comedy
2871,"Penitentiary II",1982,Drama
2872,"Someone to Watch Over Me",1987,Action|Crime|Thriller
2874,"Naturally Native",1998,Drama
2878,"Fever Pitch",1997,Comedy|Romance
2880,"Julien Donkey-Boy",1999,Drama
2884,"Time Bandits",1981,Adventure|Children|Comedy|Fantasy
2886,Fitzcarraldo,1982,Adventure|Drama
2887,"All That Jazz",1979,Drama|Fantasy|Musical
2889,"Crimes and Misdemeanors",1989,Comedy|Crime|Drama
2892,"Bringing Out the Dead",1999,Drama|Horror
2894,"Three to Tango",1999,Comedy|Romance
2895,"Body Shots",1999,Drama
2901,RoboCop,1987,Action|Crime|Sci-Fi
2902,"RoboCop 2",1990,Action|Crime|Sci-Fi
2904,"Melvin and Howard",1980,Drama
2905,"For Your Eyes Only",1981,Action|Adventure|Thriller
2906,"Licence to Kill",1989,Action|Adventure|Crime|Thriller
2907,"Live and Let Die",1973,Action|Adventure|Thriller
2909,Thunderball,1965,Action|Adventure|Thriller
2911,"House on Haunted Hill",1999,Horror|Thriller
2912,"Music of the Heart",1999,Drama
2913,"Being John Malkovich",1999,Comedy|Drama|Fantasy
2914,"Dreaming of Joseph Lees",1999,Drama|Romance
2926,Rosetta,1999,Drama
2927,"They Shoot Horses, Don't They?",1969,Drama
2928,"Battling Butler",1926,Comedy
2930,"Bustin' Loose",1981,Comedy
2931,Coma,1978,Thriller
2932,Creepshow,1982,Horror
2933,"Creepshow 2",1987,Horror
2934,Re-Animator,1985,Horror
2935,"Drugstore Cowboy",1989,Crime|Drama
2936,"Falling Down",1993,Action|Drama
2940,Piranha,1978,Horror|Sci-Fi
2945,Nighthawks,1981,Action|Drama
2947,Repossessed,1990,Comedy
2949,Spaceballs,1987,Comedy|Sci-Fi
2950,"Robin Hood",1973,Adventure|Animation|Children|Comedy|Musical
2951,"Mister Roberts",1955,Comedy|Drama|War
2953,"Little Big Man",1970,Adventure|Comedy|Drama|Western
2955,"Trading Places",1983,Comedy
2956,Meatballs,1979,Comedy
2959,"Meatballs 4",1992,Comedy
2960,"Dead Again",1991,Mystery|Romance|Thriller
2961,"Peter's Friends",1992,Comedy|Drama
2963,"Experience Preferred... But Not Essential",1982,Drama
2966,"Light It Up",1999,Drama
2967,"Anywhere But Here",1999,Drama
2968,Dogma,1999,Adventure|Comedy|Fantasy
2971,"Felicia's Journey",1999,Thriller
2977,"Holiday Inn",1942,Comedy|Musical
2979,"Poison Ivy",1992,Thriller
2982,"Tora! Tora! Tora!",1970,Action|Drama|War
2987,"Stand and Deliver",1988,Comedy|Drama
2988,Moonstruck,1987,Comedy|Romance
2991,Repulsion,1965,Horror|Thriller
2992,"Irma la Douce",1963,Comedy
2994,"Liberty Heights",1999,Drama
2995,"Mansfield Park",1999,Comedy|Drama
2997,"Sleepy Hollow",1999,Fantasy|Horror|Mystery|Romance
3003,Scrooged,1988,Comedy|Fantasy|Romance
3004,Harvey,1950,Comedy
3006,Matewan,1987,Drama
3007,Kagemusha,1980,Drama|War
3009,"McCabe & Mrs. Miller",1971,Drama|Western
3010,Maurice,1987,Drama|Romance
3015,Shampoo,1975,Comedy|Romance
3017,"Fatal Attraction",1987,Drama|Thriller
3018,"Jagged Edge",1985,Thriller
3020,"Midnight Run",1988,Action|Adventure|Comedy|Crime
3021,Awakenings,1990,Drama|Mystery
3026,Country,1984,Drama
3027,"Places in the Heart",1984,Drama
3029,"End of Days",1999,Action|Thriller
3030,"Toy Story 2",1999,Adventure|Animation|Children|Comedy|Fantasy
3031,Flawless,1999,Drama
3032,"Miss Julie",1999,Drama
3043,"Holy Smoke",1999,Comedy|Drama
3045,"Sweet and Lowdown",1999,Comedy|Drama
3046,"Bonfire of the Vanities",1990,Comedy|Crime|Drama
3049,"Go West",1925,Comedy|Western
3054,"Stealing Home",1988,Drama
3058,"U2: Rattle and Hum",1988,Documentary|Musical
3059,"Hell in the Pacific",1968,Drama|War
3061,"Cradle Will Rock",1999,Drama
3062,"Deuce Bigalow: Male Gigolo",1999,Comedy
3070,"Blood on the Sun",1945,Drama|War
3071,"Anna and the King",1999,Drama|Romance
3072,"Bicentennial Man",1999,Drama|Romance|Sci-Fi
3073,"Stuart Little",1999,Children|Comedy|Fantasy
3076,Magnolia,1999,Drama
3077,Onegin,1999,Drama|Romance
3079,Topsy-Turvy,1999,Drama
3082,"Brenda Starr",1989,Adventure
3083,"Carnal Knowledge",1971,Comedy|Drama
3084,"Easy Rider",1969,Adventure|Drama
3087,"Room at the Top",1959,Drama
3089,"Any Given Sunday",1999,Drama
3090,"Man on the Moon",1999,Comedy|Drama
3091,"Galaxy Quest",1999,Adventure|Comedy|Sci-Fi
3095,"Angela's Ashes",1999,Drama
3097,Titus,1999,Drama
3098,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",1999,Documentary
3101,"Snow Falling on Cedars",1999,Drama
3102,"Girl, Interrupted",1999,Drama
3111,"Tess of the Storm Country",1922,Drama
3112,"Stalag 17",1953,Drama|War
3114,Papillon,1973,Drama
3115,"Pal Joey",1957,Comedy|Musical|Romance
3117,"Five Easy Pieces",1970,Drama
3119,"Dead Calm",1989,Thriller
3122,"Against All Odds",1984,Romance
3124,"Loaded Weapon 1",1993,Action|Comedy
3126,"Fast Times at Ridgemont High",1982,Comedy|Drama|Romance
3129,"Batman: Mask of the Phantasm",1993,Animation|Children
3130,"American Flyers",1985,Drama
3135,"Pacific Heights",1990,Thriller
3138,Carmen,1984,Drama
3141,"Down to You",2000,Comedy|Romance
3148,"Seven Chances",1925,Comedy
3151,"Where the Buffalo Roam",1980,Comedy
3154,"Eye of the Beholder",1999,Thriller
3159,"Encino Man",1992,Comedy
3162,"Malcolm X",1992,Drama
3163,"Sister Act",1992,Comedy|Crime|Musical
3164,"Sister Act 2: Back in the Habit",1993,Comedy
3167,"Agnes of God",1985,Drama|Mystery
3168,"Scent of a Woman",1992,Drama
3169,"Wayne's World",1992,Comedy
3170,"Wayne's World 2",1993,Comedy
3172,"Patriot Games",1992,Action|Thriller
3174,"Death Becomes Her",1992,Comedy|Fantasy
3175,"Far and Away",1992,Adventure|Drama|Romance
3176,"Howards End",1992,Drama
3178,"Twin Peaks: Fire Walk with Me",1992,Drama|Mystery
3179,"White Men Can't Jump",1992,Comedy|Drama
3180,"Buffy the Vampire Slayer",1992,Action|Comedy|Horror
3184,"Stop! Or My Mom Will Shoot",1992,Action|Comedy
3185,"Forever Young",1992,Adventure|Drama|Romance|Sci-Fi
3187,"Of Mice and Men",1992,Drama
3188,"Bad Lieutenant",1992,Crime|Drama
3189,"Scream 3",2000,Comedy|Horror|Thriller
3190,"Single White Female",1992,Drama|Thriller
3192,"Gun Shy",2000,Comedy
3198,"Different for Girls",1996,Comedy
3199,"Minnie and Moskowitz",1971,Action
3200,"They Might Be Giants",1971,Comedy|Romance
3213,"With Byrd at the South Pole",1930,Documentary
3214,"Boiler Room",2000,Crime|Drama|Thriller
3215,"Hanging Up",2000,Comedy|Drama
3216,"Pitch Black",2000,Horror|Sci-Fi|Thriller
3220,"Blue Collar",1978,Crime|Drama
3221,Bluebeard,1944,Film-Noir|Horror
3223,"City Lights",1931,Comedy|Drama|Romance
3229,"Class Reunion",1982,Comedy
3232,"Reindeer Games",2000,Action|Thriller
3233,"Wonder Boys",2000,Comedy|Drama
3234,Deterrence,1999,Drama|Thriller
3240,"Drowning Mona",2000,Comedy
3242,"What Planet Are You From?",2000,Comedy|Sci-Fi
3244,"Ghost Dog: The Way of the Samurai",1999,Crime|Drama
3246,"Splendor in the Grass",1961,Drama|Romance
3247,"My Tutor",1983,Drama
3250,"Key Largo",1948,Crime|Drama|Film-Noir|Thriller
3251,"Jail Bait",1954,Crime|Drama
3253,"I'll Never Forget What's'isname",1967,Comedy|Drama
3254,"For All Mankind",1989,Documentary
3255,"Cross of Iron",1977,War
3256,"Bride of the Monster",1955,Horror|Sci-Fi
3257,"Born Yesterday",1950,Comedy
3258,Birdy,1984,Drama|War
3259,"And God Created Woman",1988,Comedy|Drama|Romance
3260,"Blood Feast",1963,Horror
3263,"Never Cry Wolf",1983,Adventure|Drama
3267,"Two Thousand Maniacs!",1964,Horror
3270,"Mission to Mars",2000,Sci-Fi
3274,"Defending Your Life",1991,Comedy|Romance
3275,"Breaking Away",1979,Comedy|Drama
3276,Hoosiers,1986,Drama
3277,"Bull Durham",1988,Comedy|Drama|Romance
3278,"Dog Day Afternoon",1975,Comedy|Crime|Drama
3279,"American Graffiti",1973,Comedy|Drama
3286,"Bound for Glory",1976,Drama
3288,"Buck and the Preacher",1972,Western
3289,"Daughters of the Dust",1991,Drama
3290,"Destination Moon",1950,Sci-Fi
3294,"On the Beach",1959,Drama
3300,Volunteers,1985,Comedy
3301,JFK,1991,Drama|Mystery|Thriller
3302,"Who's Harry Crumb?",1989,Comedy
3303,"Harry and the Hendersons",1987,Children|Comedy
3305,"Shanghai Surprise",1986,Adventure
3307,She-Devil,1989,Comedy
3308,"Date with an Angel",1987,Comedy|Fantasy|Romance
3309,"Blind Date",1987,Comedy|Romance
3315,"We're Back! A Dinosaur's Story",1993,Adventure|Animation|Children|Fantasy
3318,"Raise the Titanic",1980,Drama|Thriller
3319,Titanic,1953,Action|Drama
3323,"Erin Brockovich",2000,Drama
3324,"Final Destination",2000,Drama|Thriller
3332,"Thelma & Louise",1991,Action|Adventure|Comedy|Crime|Drama|Romance
3335,"Animal House",1978,Comedy
3336,"She's Gotta Have It",1986,Comedy|Romance
3337,"School Daze",1988,Drama
3338,"Do the Right Thing",1989,Comedy|Drama
3339,"Mo' Better Blues",1990,Drama|Musical
3340,"Jungle Fever",1991,Drama|Romance
3341,"Coogan's Bluff",1968,Crime
3343,"Creature Comforts",1989,Animation|Comedy
3344,"Death Wish",1974,Action|Crime|Drama
3346,"Death Wish 3",1985,Action|Drama
3347,"Death Wish 4: The Crackdown",1987,Action|Drama
3349,"Double Indemnity",1944,Crime|Drama|Film-Noir
3351,"Cool as Ice",1991,Drama
3352,"Teenage Mutant Ninja Turtles",1990,Action|Children|Comedy|Fantasy|Sci-Fi
3353,"Teenage Mutant Ninja Turtles II: The Secret of the Ooze",1991,Action|Children|Fantasy
3354,"Teenage Mutant Ninja Turtles III",1993,Action|Children|Fantasy
3355,"Red Dawn",1984,Action|Drama|War
3356,"Band of the Hand",1986,Action
3357,"Born American",1986,Action|Drama|Thriller
3358,Bloodsport,1988,Action
3359,"Eyes of Laura Mars",1978,Mystery|Thriller
3362,"Good Morning, Vietnam",1987,Comedy|Drama|War
3364,"Grumpy Old Men",1993,Comedy
3365,"Guess Who's Coming to Dinner",1967,Drama
3366,"Romeo Must Die",2000,Action|Crime|Romance|Thriller
3369,"Buddy Boy",1999,Drama|Thriller
3371,"Waking the Dead",2000,Drama|Thriller
3373,Gothic,1986,Drama|Horror
3375,"Lord of the Flies",1963,Adventure|Drama|Horror|Thriller
3376,"Modern Times",1936,Comedy|Romance
3380,"Heart and Souls",1993,Comedy|Fantasy
3381,Hud,1963,Drama|Western
3383,"Inherit the Wind",1960,Drama
3384,"Dersu Uzala",1975,Adventure|Drama
3385,"Close Encounters of the Third Kind",1977,Adventure|Drama|Sci-Fi
3391,"Empire Records",1995,Comedy|Drama
3393,Ladyhawke,1985,Adventure|Fantasy|Romance
3394,Lucas,1986,Drama|Romance
3395,"High Fidelity",2000,Comedy|Drama|Romance
3402,Hook,1991,Adventure|Comedy|Fantasy
3403,"Horror Express",1972,Horror
3407,"True Grit",1969,Adventure|Western
3408,"Roadside Prophets",1992,Comedy|Drama
3411,"Midnight Express",1978,Drama
3412,Misery,1990,Drama|Horror|Thriller
3413,"Mr. Saturday Night",1992,Comedy|Drama
3415,"My Life",1993,Drama
3417,Network,1976,Comedy|Drama
3418,"No Way Out",1987,Drama|Mystery|Thriller
3419,"North Dallas Forty",1979,Comedy|Drama
3423,Frequency,2000,Drama|Thriller
3424,"Ready to Rumble",2000,Comedy
3425,"Return to Me",2000,Drama|Romance
3432,"Force 10 from Navarone",1978,Action|War
3434,"Mystery Train",1989,Comedy|Drama
3437,Arthur,1981,Comedy|Romance
3438,"Bachelor Party",1984,Comedy
3439,Parenthood,1989,Comedy|Drama
3440,Predator,1987,Action|Sci-Fi|Thriller
3446,"28 Days",2000,Drama
3447,"American Psycho",2000,Comedy|Crime|Drama|Horror|Mystery|Thriller
3448,"Keeping the Faith",2000,Comedy|Drama|Romance
3450,"East is East",1999,Comedy
3455,Diner,1982,Comedy|Drama
3457,Cabaret,1972,Musical|War
3458,"What Ever Happened to Baby Jane?",1962,Drama|Thriller
3459,"Prick Up Your Ears",1987,Comedy|Drama
3460,"Auntie Mame",1958,Comedy|Drama
3461,"Guys and Dolls",1955,Comedy|Musical|Romance
3463,"Marathon Man",1976,Crime|Drama|Thriller
3464,Caddyshack,1980,Comedy
3467,U-571,2000,Action|Thriller
3471,Limelight,1952,Comedy|Drama|Romance
3474,Committed,2000,Comedy|Drama
3477,"Where the Heart Is",2000,Comedy|Drama
3489,"Two Moon Junction",1988,Drama|Romance
3491,"I Dreamed of Africa",2000,Drama
3493,"Human Traffic",1999,Comedy
3496,Breathless,1983,Action|Drama|Romance|Thriller
3499,Inferno,1980,Horror
3503,"Mr. Mom",1983,Comedy|Drama
3505,"Battlefield Earth",2000,Action|Sci-Fi
3506,"Center Stage",2000,Drama|Musical
3510,Hamlet,2000,Crime|Drama|Romance|Thriller
3511,"Anchors Aweigh",1945,Comedy|Musical
3512,"Blue Hawaii",1961,Comedy|Musical
3516,Gypsy,1962,Musical
3518,"On the Town",1949,Comedy|Musical|Romance
3519,"One Little Indian",1973,Comedy|Drama|Western
3520,"Pee-wee's Big Adventure",1985,Comedy
3526,"Honeymoon in Vegas",1992,Comedy|Romance
3527,Dinosaur,2000,Animation|Children
3529,"Road Trip",2000,Comedy
3530,"Small Time Crooks",2000,Comedy
3536,"Shanghai Noon",2000,Action|Adventure|Comedy|Western
3539,"Carnival of Souls",1962,Horror|Thriller
3540,"Flying Tigers",1942,Action|Drama|Romance|War
3544,"Monsieur Verdoux",1947,Comedy|Crime
3545,"On Her Majesty's Secret Service",1969,Action|Adventure|Thriller
3546,"Seven Days in May",1964,Thriller
3550,Moonraker,1979,Action|Adventure|Romance|Sci-Fi|Thriller
3556,"Dark Command",1940,Western
3561,"American Gigolo",1980,Drama
3570,"Quatermass and the Pit",1967,Horror|Sci-Fi
3580,"Romeo and Juliet",1968,Drama|Romance
3581,"Stay Tuned",1992,Comedy
3583,"Blazing Saddles",1974,Comedy|Western
3584,Benji,1974,Adventure|Children
3587,"White Christmas",1954,Comedy|Musical|Romance
3588,Eraserhead,1977,Drama|Horror
3594,"Magnum Force",1973,Action|Crime|Drama|Thriller
3597,"Prizzi's Honor",1985,Comedy|Drama|Romance
3598,Flatliners,1990,Horror|Sci-Fi|Thriller
3602,"Porky's Revenge",1985,Comedy
3603,"Private School",1983,Comedy
3604,"Class of Nuke 'Em High",1986,Comedy|Horror
3608,"Night of the Creeps",1986,Comedy|Horror|Sci-Fi
3609,"Predator 2",1990,Action|Sci-Fi|Thriller
3611,Starman,1984,Adventure|Drama|Romance|Sci-Fi
3613,"Alien Nation",1988,Crime|Drama|Sci-Fi
3614,"Mad Max",1979,Action|Adventure|Sci-Fi
3616,"Mad Max Beyond Thunderdome",1985,Action|Adventure|Sci-Fi
3617,"Bird on a Wire",1990,Action|Comedy|Romance
3618,"Angel Heart",1987,Horror|Mystery|Thriller
3619,"Nine 1/2 Weeks",1986,Drama|Romance
3620,Firestarter,1984,Horror|Thriller
3624,Soapdish,1991,Comedy
3627,Burglar,1987,Comedy|Crime
3628,"Fatal Beauty",1987,Action|Comedy|Crime|Drama
3631,"Love's Labour's Lost",2000,Comedy|Romance
3632,Sunshine,1999,Drama
3635,Hamlet,1990,Drama
3636,"Coming Home",1978,Drama|War
3637,"American Pop",1981,Animation|Musical
3638,"Assault on Precinct 13",1976,Action|Thriller
3639,"Near Dark",1987,Horror|Western
3640,"One False Move",1992,Crime|Drama|Film-Noir|Thriller
3641,Shaft,1971,Action|Crime|Drama|Thriller
3646,"Prince of the City",1981,Drama
3647,Serpico,1973,Crime|Drama
3649,"Lonely Are the Brave",1962,Drama|Western
3651,"Trouble in Paradise",1932,Comedy|Romance
3652,"Big Trouble in Little China",1986,Action|Adventure|Comedy|Fantasy
3653,Badlands,1973,Crime|Drama|Thriller
3656,Shaft,2000,Action|Crime|Thriller
3657,"Titan A.E.",2000,Action|Adventure|Animation|Sci-Fi
3659,"Jesus' Son",1999,Drama
3663,"Chicken Run",2000,Animation|Children|Comedy
3670,Communion,1989,Drama|Sci-Fi|Thriller
3678,"Missing in Action",1984,Action|War
3679,"Missing in Action 2: The Beginning",1985,Action|War
3680,"Braddock: Missing in Action III",1988,Action|War
3681,"Thunderbolt and Lightfoot",1974,Action
3682,Dreamscape,1984,Adventure|Crime|Sci-Fi|Thriller
3685,"House Party",1990,Comedy
3687,"Make Mine Music",1946,Animation|Children|Musical
3688,"Melody Time",1948,Animation|Children|Musical
3689,Nekromantik,1987,Comedy|Horror
3691,"Project Moon Base",1953,Sci-Fi
3693,"Shaft in Africa",1973,Action|Crime
3694,"Shaft's Big Score!",1972,Action|Crime
3695,Croupier,1998,Crime|Drama
3697,"Scary Movie",2000,Comedy|Horror
3698,"But I'm a Cheerleader",1999,Comedy
3703,Footloose,1984,Drama
3705,X-Men,2000,Action|Adventure|Sci-Fi
3710,"What Lies Beneath",2000,Thriller
3713,"Anatomy of a Murder",1959,Drama|Mystery
3714,Freejack,1992,Action|Sci-Fi
3716,H.O.T.S.,1979,Comedy
3717,Knightriders,1981,Action|Adventure|Drama
3718,"MacKenna's Gold",1969,Western
3719,"Sinbad and the Eye of the Tiger",1977,Action|Adventure
3721,"What About Bob?",1991,Comedy
3722,"White Sands",1992,Drama|Thriller
3725,Interiors,1978,Drama
3726,"Love and Death",1975,Comedy
3730,Tampopo,1985,Comedy
3731,"Thomas and the Magic Railroad",2000,Children
3732,"Nutty Professor II: The Klumps",2000,Comedy
3734,Wonderland,1999,Drama
3735,"Autumn in New York",2000,Drama|Romance
3736,"Coyote Ugly",2000,Drama
3737,"Hollow Man",2000,Horror|Sci-Fi|Thriller
3738,"Space Cowboys",2000,Action|Adventure|Comedy|Sci-Fi
